URL;Start Time;End Time;Response Time;Latency;Status Code
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.963Z;2023-12-08T13:50:55.355Z;1.39s;1.39s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.963Z;2023-12-08T13:50:55.366Z;1.40s;1.40s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.370Z;2023-12-08T13:50:57.649Z;1.28s;1.28s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.374Z;2023-12-08T13:50:57.652Z;1.28s;1.28s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.373Z;2023-12-08T13:50:57.656Z;1.28s;1.28s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.375Z;2023-12-08T13:50:57.691Z;1.32s;1.32s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.372Z;2023-12-08T13:50:57.724Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.373Z;2023-12-08T13:50:57.726Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.371Z;2023-12-08T13:50:57.734Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.369Z;2023-12-08T13:50:57.871Z;1.50s;1.50s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.372Z;2023-12-08T13:50:57.872Z;1.50s;1.50s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.374Z;2023-12-08T13:50:57.874Z;1.50s;1.50s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.373Z;2023-12-08T13:50:57.980Z;1.61s;1.61s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.370Z;2023-12-08T13:50:57.982Z;1.61s;1.61s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.371Z;2023-12-08T13:50:57.983Z;1.61s;1.61s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.375Z;2023-12-08T13:50:58.386Z;2.01s;2.01s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:56.376Z;2023-12-08T13:50:58.387Z;2.01s;2.01s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.398Z;2023-12-08T13:51:00.674Z;1.28s;1.28s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.396Z;2023-12-08T13:51:00.681Z;1.28s;1.28s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.394Z;2023-12-08T13:51:00.685Z;1.29s;1.29s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.396Z;2023-12-08T13:51:00.693Z;1.30s;1.30s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.395Z;2023-12-08T13:51:00.736Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.392Z;2023-12-08T13:51:00.737Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.393Z;2023-12-08T13:51:00.738Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.397Z;2023-12-08T13:51:00.744Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.398Z;2023-12-08T13:51:00.756Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.393Z;2023-12-08T13:51:00.771Z;1.38s;1.38s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.397Z;2023-12-08T13:51:00.781Z;1.38s;1.38s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.395Z;2023-12-08T13:51:01.124Z;1.73s;1.73s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.393Z;2023-12-08T13:51:01.127Z;1.73s;1.73s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.394Z;2023-12-08T13:51:01.129Z;1.74s;1.74s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:59.391Z;2023-12-08T13:51:01.186Z;1.79s;1.79s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.198Z;2023-12-08T13:51:03.457Z;1.26s;1.26s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.201Z;2023-12-08T13:51:03.462Z;1.26s;1.26s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.202Z;2023-12-08T13:51:03.520Z;1.32s;1.32s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.203Z;2023-12-08T13:51:03.525Z;1.32s;1.32s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.200Z;2023-12-08T13:51:03.538Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.201Z;2023-12-08T13:51:03.545Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.200Z;2023-12-08T13:51:03.547Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.199Z;2023-12-08T13:51:03.548Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.202Z;2023-12-08T13:51:03.557Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:51:02.201Z;2023-12-08T13:51:03.575Z;1.37s;1.37s;201
